"IntentContract","IntentEmail","Manip01","Manip02","Manip03","PriceQuality","PsychOwn01","PsychOwn02","PsychOwn03","PsychOwn04","GWA01","GWA02","GWA03","GWA04","CFC01","CFC02","CFC03","CFC04","CFC05","CFC06","CFC07","CFC08","CFC09","CFC10","CFC11","CFC12","CFC13","CFC14","BVO01","BVO02","BVO03","BVO04","Secure01","Secure02","Secure03","Secure04","Privacy01","Privacy02","Privacy03","Privacy04","BikeOwn","BikeShare","BikeStolen","CarLicense","CarAccess","BikeFreq","BikePurpose","BikeDuration","TravelMode","Travel01","Travel02","Travel03","dGender","YrBirth","dIBA","SatFac","HrPWork","HrVWork","HrClass","HrStud","cLiving","cLocate","dPreMas","dSports","dFraternity","dAssoc","dAbroad","Control01","Control02","Control03","SurveyDifficult","SurveyMotive","SurveyLike","SurveyBoring","SurveyClear"
80,0,2,1,2,1.23809523809524,3,3,2,4,2,2,3,2,3,4,2,4,3,4,4,4,2,2,3,4,4,4,3,4,6,3,4,5,5,2,1,1,1,1,1,2,2,1,1,5,3,25,2,-4,-1,3,2,1998,1,72,0,8,16,25,3,5,2,2,2,1,2,1,1,2,2,2,2,1,1
4,45,3,2,2,5.0625,3,2,3,5,1,3,2,2,4,4,2,2,5,2,3,4,2,3,2,4,5,4,5,5,6,4,4,4,3,3,2,3,2,2,1,2,2,1,1,2,1,35,4,4,4,5,1,1998,1,78,0,0,16,40,2,1,2,2,2,2,1,3,1,2,2,1,1,2,1
15,61,3,1,2,1.90909090909091,4,4,3,5,3,1,1,3,4,3,1,1,4,4,4,3,2,2,1,3,4,4,5,4,4,3,2,5,3,1,1,2,2,2,1,2,1,1,2,2,1,10,4,1,-3,1,1,1999,1,75,0,0,5,30,2,1,2,2,1,2,2,3,1,2,2,1,1,2,1
0,0,3,1,2,41,1,1,1,7,1,1,1,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,5,5,5,3,4,4,4,2,2,2,2,1,2,1,1,1,5,2,25,4,3,-2,4,1,1996,1,30,16,6,8,20,1,1,2,1,1,1,1,1,1,3,2,1,1,2,1
0,0,3,2,3,1.90909090909091,1,3,1,7,3,1,1,2,4,3,3,2,4,4,4,4,3,2,3,4,4,3,5,4,4,5,2,5,4,2,4,3,4,4,1,2,2,1,1,3,1,15,4,3,-4,3,1,1992,1,10,0,0,6,6,4,1,2,1,2,2,2,2,2,3,2,2,1,2,1
10,10,1,1,1,1.24390243902439,1,2,2,7,2,2,3,4,4,4,1,4,2,4,4,5,1,1,1,2,4,4,5,5,5,5,4,5,4,1,4,4,4,4,1,2,1,1,1,2,1,15,4,0,-4,4,1,1995,1,65,25,0,10,25,1,1,2,1,2,2,1,1,1,1,2,1,1,2,1
0,0,1,1,2,1.24390243902439,1,1,1,7,1,1,1,1,5,5,1,1,2,5,5,2,1,2,1,3,4,4,4,4,4,4,4,5,3,1,5,3,1,1,1,1,2,1,1,2,3,60,2,4,4,5,1,1997,1,80,10,0,20,30,1,1,2,1,2,1,2,5,1,2,1,2,1,2,2
40,71,1,1,2,1.96774193548387,1,2,1,7,1,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,4,3,3,2,2,3,1,1,2,1,1,2,3,6,2,1,3,0,1,1997,1,78,0,0,2,3,2,2,2,2,1,2,2,1,1,2,2,1,1,2,1
15,30,3,2,2,3,3,6,2,4,1,2,3,2,2,2,2,3,4,2,4,4,2,2,3,4,3,4,3,4,3,2,2,5,4,4,2,2,2,3,1,1,2,1,1,4,2,30,2,2,5,3,2,1999,1,76,4,3,14,16,1,1,2,1,2,1,2,3,2,2,2,1,2,2,1
0,100,2,2,3,2.81818181818182,4,4,4,1,1,1,2,1,4,4,3,2,4,5,4,4,1,1,3,2,4,5,3,3,3,2,4,5,5,3,5,2,5,2,2,2,1,1,1,4,1,10,3,0,5,5,1,1998,1,50,4,4,0,20,2,2,2,1,1,2,1,5,1,3,2,1,1,2,1
0,100,3,1,1,1,1,1,1,7,2,4,2,4,4,4,3,2,5,4,2,3,3,1,2,2,5,4,4,4,4,4,2,5,2,1,2,3,2,2,1,2,2,1,1,2,1,55,2,2,-2,-3,1,1996,1,18,3,3,25,20,3,4,1,1,2,1,1,3,1,1,2,1,1,2,1
65,80,3,2,2,41,5,5,3,2,2,3,1,4,4,3,1,2,3,4,4,2,1,2,1,2,5,4,5,5,5,4,3,4,2,1,4,4,4,4,1,2,2,2,2,2,1,15,4,2,-4,-4,2,1999,1,60,8,2,8,12,2,1,2,1,1,1,1,3,1,2,2,1,2,1,1
70,65,2,2,1,1,1,1,4,7,1,4,3,4,4,3,3,2,4,4,4,3,3,2,2,4,4,2,5,4,5,4,3,3,3,2,4,3,4,4,1,2,2,1,1,2,1,15,4,-4,-4,-3,2,1996,1,70,14,0,8,15,1,4,2,2,2,2,2,2,2,1,2,1,1,2,1
0,0,1,2,1,6.45454545454545,2,4,1,6,1,1,2,4,3,2,1,2,4,3,4,4,2,1,3,3,4,3,4,4,4,3,5,5,2,1,1,1,1,1,1,2,2,1,1,2,1,15,2,2,-4,5,2,1997,1,75,0,0,45,30,5,1,2,1,1,2,1,2,1,2,2,2,1,1,1
100,100,2,1,3,2.81818181818182,6,3,2,3,1,2,3,2,5,3,2,2,4,4,4,4,1,2,2,2,5,4,5,5,5,5,3,5,3,3,3,3,3,3,2,1,1,2,2,2,2,15,2,-3,1,-2,2,1998,1,90,15,0,16,14,1,4,2,1,2,1,2,2,1,3,2,1,1,2,1
77,41,1,2,1,3.1875,1,2,1,7,2,3,3,4,4,3,2,2,3,3,4,3,3,3,2,3,4,4,4,5,4,3,2,4,2,1,2,4,4,3,1,2,1,2,2,2,3,20,4,-2,-4,-3,2,1998,1,72,0,0,10,20,3,2,2,1,1,2,2,1,2,2,2,1,2,2,1
81,29,2,2,2,2.36363636363636,5,5,5,3,2,4,2,4,4,3,2,2,4,3,4,3,2,3,2,4,4,4,5,5,4,4,3,4,2,1,2,3,2,2,1,2,1,1,1,2,1,30,4,4,-5,0,2,1998,1,61,4,0,10,10,1,2,2,1,1,2,2,3,2,3,2,1,2,2,1
10,39,1,2,3,1,2,6,6,5,1,2,2,2,4,4,2,2,4,4,3,3,2,2,2,4,4,4,2,4,4,3,2,3,2,2,3,3,4,3,1,2,1,1,1,2,1,15,1,3,0,0,1,1999,1,68,12,0,5,15,1,1,2,1,2,2,2,5,2,3,2,1,1,2,1
40,10,1,2,1,2.9047619047619,1,1,1,7,1,1,1,2,4,4,3,4,4,2,3,3,4,3,3,3,5,4,3,4,5,3,3,5,3,2,2,2,2,2,1,2,2,1,1,3,4,10,2,3,2,4,2,1997,1,80,0,6,8,12,2,5,2,1,2,2,1,1,1,2,1,1,1,2,2
66,32,1,1,3,1.47619047619048,2,2,2,6,2,3,1,3,4,2,1,2,4,5,4,3,2,2,2,2,4,4,3,3,3,3,2,4,2,4,2,2,2,2,1,2,2,1,1,2,1,40,4,-4,-3,3,2,1995,1,85,8,0,10,30,1,1,2,1,2,2,2,1,1,3,2,1,1,2,1
19,71,1,1,3,1.96774193548387,2,3,2,6,1,3,4,1,4,2,4,4,3,4,4,4,4,2,4,4,5,5,4,2,5,3,2,4,4,1,4,5,4,4,1,2,1,1,1,3,1,30,2,-3,5,5,1,1998,1,60,6,0,8,4,1,4,2,1,1,2,2,1,1,3,1,2,1,2,1
70,0,2,1,1,1,6,6,5,5,1,2,3,2,4,4,3,3,3,4,4,4,4,4,5,4,4,4,6,6,6,6,3,5,4,5,2,2,2,2,1,1,1,1,1,3,3,20,2,2,1,-2,1,1998,1,61,0,0,4,10,2,1,2,1,1,2,1,1,1,1,1,2,2,1,1
40,6,2,1,1,1.90909090909091,3,4,2,6,2,4,1,3,4,2,1,2,3,4,3,3,2,1,4,2,3,4,5,5,5,4,2,5,5,1,3,5,4,4,1,2,1,1,1,2,1,15,4,-4,-3,-3,2,1998,1,20,6,0,6,3,1,2,2,1,1,2,2,2,1,3,2,1,1,2,1
50,10,3,1,2,1.47619047619048,1,1,1,7,2,2,2,2,3,3,4,4,3,2,4,3,3,4,3,3,4,2,4,3,4,3,2,4,3,1,3,4,3,3,1,2,2,1,1,2,1,7,4,3,1,2,2,1999,1,70,8,0,4,6,1,1,2,1,2,2,2,3,1,2,1,2,2,1,2
